,id,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over
2721,1400000US26081001102,"Census Tract 11.02, Kent County, Michigan",92,43,0,12,3,35,0,0,52,122,15,14,440,150,85,11,50,8,0,14,0,65,31,26,0,232,0,17,0,50,8,0,29,0,78,9,41,0
287,1400000US26081011001,"Census Tract 110.01, Kent County, Michigan",13,0,0,0,0,42,0,0,26,67,67,82,353,25,0,0,0,45,14,6,0,26,38,67,132,337,0,0,0,0,11,0,24,0,32,81,102,87
119,1400000US26081011002,"Census Tract 110.02, Kent County, Michigan",13,0,0,13,0,0,0,0,31,143,33,125,481,40,0,0,8,0,0,0,0,96,120,33,184,270,6,0,0,0,0,0,0,0,52,46,52,114
137,1400000US26081011101,"Census Tract 111.01, Kent County, Michigan",0,0,16,47,0,30,14,0,108,42,0,105,312,0,0,9,69,18,0,27,0,55,40,47,47,443,0,0,9,29,0,22,13,0,20,146,103,101
289,1400000US26081011102,"Census Tract 111.02, Kent County, Michigan",0,0,0,0,0,0,12,0,91,59,45,138,465,0,38,0,0,12,0,24,29,63,56,70,173,600,10,0,0,0,35,8,11,0,88,140,98,210
199,1400000US26081011200,"Census Tract 112, Kent County, Michigan",0,0,24,8,0,13,0,0,18,37,5,0,346,0,0,46,11,0,22,0,0,53,139,41,34,421,0,0,13,0,10,12,0,0,87,106,94,99
2348,1400000US26081011301,"Census Tract 113.01, Kent County, Michigan",0,0,13,0,0,0,0,0,94,71,35,0,441,81,12,0,66,0,0,21,25,102,36,92,6,351,9,11,13,65,0,16,9,24,67,67,25,45
196,1400000US26081011302,"Census Tract 113.02, Kent County, Michigan",17,24,0,0,0,0,0,0,152,47,39,105,507,48,202,43,0,0,21,11,0,92,35,19,36,461,0,74,76,0,0,20,0,13,79,38,64,97
2719,1400000US26081011401,"Census Tract 114.01, Kent County, Michigan",0,0,6,4,7,5,11,10,69,17,14,14,124,0,0,6,10,0,10,0,0,53,13,18,14,156,0,0,0,7,0,0,3,0,49,18,36,43
200,1400000US26081011403,"Census Tract 114.03, Kent County, Michigan",0,41,0,0,0,0,8,0,36,53,0,85,225,27,46,7,0,0,0,16,0,57,50,0,22,190,0,25,0,0,0,0,0,22,24,41,29,49
504,1400000US26081011405,"Census Tract 114.05, Kent County, Michigan",12,0,0,0,0,0,10,0,95,23,74,78,139,12,0,0,0,0,5,0,0,55,41,26,0,244,0,0,0,42,0,0,0,14,38,122,0,28
505,1400000US26081011406,"Census Tract 114.06, Kent County, Michigan",122,37,0,141,0,77,0,0,73,54,0,15,507,198,0,48,100,0,24,0,0,107,30,0,0,451,69,0,72,170,0,10,0,0,69,16,0,45
1568,1400000US26081011500,"Census Tract 115, Kent County, Michigan",0,40,0,26,66,56,0,56,137,83,18,13,463,33,42,0,0,58,41,0,7,117,120,45,0,328,50,0,0,0,18,19,0,0,42,102,41,56
2720,1400000US26081011600,"Census Tract 116, Kent County, Michigan",0,0,0,148,41,0,54,0,129,77,68,48,510,0,0,27,70,0,0,0,0,38,108,189,78,764,92,0,12,0,22,0,0,0,256,145,198,39
290,1400000US26081011701,"Census Tract 117.01, Kent County, Michigan",11,0,0,0,0,0,27,0,150,118,116,78,340,13,0,0,14,14,0,0,60,108,92,7,32,292,81,0,0,0,15,19,0,23,49,49,33,23
201,1400000US26081011702,"Census Tract 117.02, Kent County, Michigan",74,18,0,0,11,11,0,0,45,39,60,123,473,29,0,0,0,0,21,7,0,77,44,52,243,332,35,0,0,0,0,23,0,0,0,138,48,88
138,1400000US26081011801,"Census Tract 118.01, Kent County, Michigan",20,54,0,0,0,0,0,0,157,38,166,323,521,0,53,0,0,0,36,0,0,84,90,77,181,772,20,24,0,0,27,0,0,0,161,77,116,347
202,1400000US26081011803,"Census Tract 118.03, Kent County, Michigan",0,21,0,0,0,8,0,0,0,42,0,156,386,0,23,0,0,0,0,0,0,58,48,0,257,688,0,77,0,0,0,0,0,0,69,91,24,427
120,1400000US26081011804,"Census Tract 118.04, Kent County, Michigan",0,0,0,0,64,0,18,0,17,45,32,199,376,0,9,0,0,0,0,18,0,65,67,74,143,339,0,9,0,0,5,18,0,0,71,21,77,138
108,1400000US26081011901,"Census Tract 119.01, Kent County, Michigan",0,0,0,0,0,0,0,0,0,0,120,330,491,0,0,0,0,74,59,0,0,46,0,60,252,812,69,0,0,0,0,0,0,19,115,21,143,445
1567,1400000US26081011902,"Census Tract 119.02, Kent County, Michigan",33,7,0,0,0,0,0,34,175,53,124,176,903,45,0,9,0,0,0,0,0,97,28,213,511,795,76,0,10,0,0,0,0,0,47,65,101,496
2722,1400000US26081001200,"Census Tract 12, Kent County, Michigan",6,35,0,0,35,0,0,0,84,56,0,0,216,0,0,0,0,31,21,0,0,48,102,14,0,219,17,0,13,0,31,22,0,0,82,54,0,0
291,1400000US26081012002,"Census Tract 120.02, Kent County, Michigan",0,0,0,6,7,17,0,0,171,93,69,50,607,0,0,5,6,49,0,0,6,147,161,113,120,521,5,0,5,14,37,4,0,13,131,111,33,168
109,1400000US26081012003,"Census Tract 120.03, Kent County, Michigan",41,0,40,0,0,0,0,0,55,51,28,115,531,59,40,0,0,0,16,11,27,75,115,55,133,612,0,0,0,0,0,16,11,0,122,158,69,236
139,1400000US26081012004,"Census Tract 120.04, Kent County, Michigan",0,0,51,0,25,7,8,42,132,25,67,30,405,22,0,48,8,27,99,0,0,98,43,46,14,372,0,0,0,9,26,58,18,7,96,95,33,30
2349,1400000US26081012201,"Census Tract 122.01, Kent County, Michigan",0,0,0,0,0,40,22,0,21,78,15,229,480,0,0,0,0,0,0,10,0,16,23,35,396,672,12,0,0,0,5,0,0,0,87,112,68,388
2350,1400000US26081012202,"Census Tract 122.02, Kent County, Michigan",0,0,0,18,0,0,0,0,158,103,47,436,524,0,0,0,0,29,0,0,0,23,184,110,178,629,0,0,0,0,15,0,0,0,66,26,70,452
288,1400000US26081012203,"Census Tract 122.03, Kent County, Michigan",0,0,11,0,9,0,0,4,24,69,43,146,439,0,0,21,0,0,0,0,8,33,127,63,187,498,18,0,0,0,0,9,0,24,25,147,29,246
2329,1400000US26081012300,"Census Tract 123, Kent County, Michigan",0,0,0,0,15,0,0,0,16,13,18,153,391,0,0,0,0,29,0,0,0,10,52,43,257,349,0,0,0,0,24,0,0,0,13,51,8,253
2351,1400000US26081012400,"Census Tract 124, Kent County, Michigan",0,0,0,0,0,0,0,10,10,30,71,210,372,0,0,7,0,0,0,19,0,14,68,14,250,587,6,0,8,0,0,0,5,0,45,104,35,384
212,1400000US26081012500,"Census Tract 125, Kent County, Michigan",0,0,0,0,0,0,0,0,59,102,56,258,607,0,0,0,0,12,0,0,0,49,121,55,370,485,0,0,0,8,0,0,0,17,26,96,48,290
99,1400000US26081012604,"Census Tract 126.04, Kent County, Michigan",5,0,33,0,20,57,12,0,62,221,85,198,459,6,0,72,0,0,12,12,0,35,145,101,76,554,5,0,62,0,0,130,0,0,70,96,84,107
140,1400000US26081012605,"Census Tract 126.05, Kent County, Michigan",8,0,0,0,0,7,0,0,45,38,19,87,260,18,7,8,0,0,0,0,0,38,58,17,114,223,11,15,13,0,10,0,0,0,28,37,18,91
141,1400000US26081012606,"Census Tract 126.06, Kent County, Michigan",21,58,141,0,0,49,0,0,181,54,19,0,727,31,37,154,255,0,0,0,0,144,48,0,58,343,22,0,55,181,19,16,0,0,0,0,13,37
506,1400000US26081012607,"Census Tract 126.07, Kent County, Michigan",53,4,0,33,70,80,0,34,75,0,18,0,267,0,0,0,0,0,84,0,0,56,0,127,0,296,19,0,0,66,0,0,0,0,138,0,42,31
507,1400000US26081012608,"Census Tract 126.08, Kent County, Michigan",0,0,0,20,8,0,0,111,46,9,11,0,141,0,9,12,17,79,0,0,0,16,0,8,0,118,0,16,0,16,51,0,0,0,8,9,8,10
292,1400000US26081012701,"Census Tract 127.01, Kent County, Michigan",0,78,154,69,218,82,0,17,9,130,26,31,525,0,62,0,231,62,21,0,17,33,10,56,33,480,0,0,0,37,13,0,0,33,186,69,76,66
2352,1400000US26081012702,"Census Tract 127.02, Kent County, Michigan",7,0,0,13,53,35,60,0,99,134,38,45,336,0,0,0,54,18,20,18,0,88,122,16,0,248,0,0,0,55,0,16,0,0,45,90,27,15
2330,1400000US26081012703,"Census Tract 127.03, Kent County, Michigan",24,0,65,50,23,128,50,17,50,84,19,6,585,26,0,141,100,29,6,131,0,48,77,22,5,588,11,0,65,17,33,133,124,10,117,23,51,4
2331,1400000US26081012800,"Census Tract 128, Kent County, Michigan",19,41,19,13,22,0,0,0,24,83,7,12,269,39,60,0,8,0,0,13,24,49,43,0,33,443,8,40,0,8,87,15,0,25,78,94,52,36
100,1400000US26081012901,"Census Tract 129.01, Kent County, Michigan",32,66,21,0,0,0,0,33,41,39,19,7,491,88,105,9,0,0,22,0,114,81,72,0,0,455,73,105,16,10,0,11,0,91,96,47,0,6
142,1400000US26081012902,"Census Tract 129.02, Kent County, Michigan",0,27,41,8,45,45,17,70,171,64,0,16,297,21,9,46,8,11,20,48,0,96,9,9,20,364,8,28,14,0,0,8,58,18,113,21,96,0
113,1400000US26081001300,"Census Tract 13, Kent County, Michigan",51,91,46,10,9,14,0,0,17,12,5,0,237,36,68,46,11,0,0,0,7,62,0,7,0,206,10,33,27,34,0,7,7,22,53,13,0,0
110,1400000US26081013000,"Census Tract 130, Kent County, Michigan",66,0,0,11,70,0,0,26,45,52,10,8,289,15,0,0,73,38,39,0,40,48,36,0,0,236,42,0,0,11,42,39,0,15,30,36,11,10
1569,1400000US26081013100,"Census Tract 131, Kent County, Michigan",0,36,0,168,0,14,0,18,225,92,174,21,429,0,39,0,109,12,14,0,0,64,42,149,0,162,0,0,0,24,0,0,0,0,51,29,58,0
2332,1400000US26081013200,"Census Tract 132, Kent County, Michigan",0,0,12,0,24,0,23,0,76,117,91,63,487,0,0,0,0,52,0,11,0,53,137,133,101,718,60,0,11,0,24,28,0,28,152,211,0,204
101,1400000US26081013300,"Census Tract 133, Kent County, Michigan",0,106,25,0,131,56,0,0,34,21,22,0,702,48,54,97,0,157,94,0,108,137,7,0,0,736,65,57,25,0,165,27,15,166,120,15,35,46
2353,1400000US26081013400,"Census Tract 134, Kent County, Michigan",0,16,0,0,48,126,27,23,88,81,8,9,507,107,22,0,0,27,25,78,32,175,25,7,9,349,6,0,7,0,73,68,50,18,55,50,15,7
111,1400000US26081013500,"Census Tract 135, Kent County, Michigan",108,0,37,0,40,81,0,16,48,92,0,15,497,117,47,7,52,61,78,0,81,39,0,0,15,499,14,43,58,12,52,62,0,56,115,78,0,9
102,1400000US26081013600,"Census Tract 136, Kent County, Michigan",10,56,7,20,14,19,0,0,67,47,5,0,224,17,4,6,36,13,52,19,0,67,5,0,5,132,14,5,0,16,5,5,0,0,48,22,0,17
1482,1400000US26081013700,"Census Tract 137, Kent County, Michigan",24,0,94,0,100,31,39,0,159,27,6,0,494,13,0,0,0,73,71,0,0,203,92,42,0,543,217,0,0,0,80,48,16,0,79,76,14,13
143,1400000US26081013801,"Census Tract 138.01, Kent County, Michigan",20,21,0,0,0,8,0,14,24,26,0,0,127,18,20,0,0,0,0,0,0,79,4,0,6,36,3,22,0,0,0,11,0,0,0,0,0,0
213,1400000US26081013802,"Census Tract 138.02, Kent County, Michigan",19,15,21,30,211,109,88,0,115,101,0,0,583,79,0,6,31,138,17,6,27,170,86,0,23,297,62,0,6,0,46,0,0,13,59,100,0,11
2354,1400000US26081013900,"Census Tract 139, Kent County, Michigan",0,72,0,72,0,0,0,0,131,129,0,49,398,0,0,0,110,0,18,0,0,164,76,30,0,481,0,42,0,58,45,0,0,0,135,143,0,58
2356,1400000US26081001400,"Census Tract 14, Kent County, Michigan",64,0,9,30,0,16,0,0,79,18,9,18,100,0,0,10,14,0,52,0,0,15,9,0,0,16,0,0,0,0,0,0,0,0,0,8,0,8
1483,1400000US26081014000,"Census Tract 140, Kent County, Michigan",98,76,33,0,0,105,0,56,158,70,38,74,671,0,135,77,0,0,136,0,26,212,38,17,30,546,36,72,52,0,54,212,0,0,77,21,22,0
2333,1400000US26081014100,"Census Tract 141, Kent County, Michigan",6,0,0,24,5,23,5,0,71,0,22,0,230,0,0,0,79,34,41,0,0,6,50,20,0,94,0,7,0,5,17,0,0,0,39,21,5,0
2334,1400000US26081014200,"Census Tract 142, Kent County, Michigan",0,93,49,110,14,78,0,0,75,62,0,0,318,14,64,13,7,42,62,0,0,71,45,0,0,457,67,156,45,15,39,49,0,0,57,16,7,6
2355,1400000US26081014300,"Census Tract 143, Kent County, Michigan",0,44,67,43,11,5,159,0,86,42,6,0,254,0,31,0,0,0,0,72,82,20,20,21,8,201,11,54,0,0,8,7,0,16,21,44,22,18
103,1400000US26081014501,"Census Tract 145.01, Kent County, Michigan",38,79,0,0,16,56,0,56,134,136,124,221,1082,14,65,0,55,43,121,26,43,234,81,277,123,913,44,13,0,53,0,90,0,13,77,109,227,287
214,1400000US26081014502,"Census Tract 145.02, Kent County, Michigan",0,0,17,0,13,0,0,176,144,212,50,17,739,51,19,0,118,85,0,12,30,170,172,14,68,276,0,33,23,0,0,0,0,0,61,26,38,95
1572,1400000US26081014601,"Census Tract 146.01, Kent County, Michigan",0,0,0,0,0,0,0,86,188,183,67,221,593,0,0,0,0,53,0,0,104,78,214,43,101,800,0,0,0,0,124,15,0,17,85,282,47,230
144,1400000US26081014602,"Census Tract 146.02, Kent County, Michigan",18,14,18,0,73,69,0,0,241,67,110,220,1028,19,13,0,42,133,0,0,0,286,18,191,326,1160,53,17,19,21,131,0,0,0,187,254,275,203
104,1400000US26081014701,"Census Tract 147.01, Kent County, Michigan",22,0,63,0,0,63,51,0,125,27,0,0,358,25,0,85,46,61,5,12,0,67,36,12,9,449,69,0,78,112,57,5,0,0,67,39,8,14
1484,1400000US26081014703,"Census Tract 147.03, Kent County, Michigan",187,51,0,27,90,22,0,36,72,73,14,38,379,111,53,0,0,37,80,0,21,38,39,0,0,292,0,37,0,7,58,36,0,0,78,67,0,9
105,1400000US26081014704,"Census Tract 147.04, Kent County, Michigan",0,0,0,0,0,83,0,54,120,0,6,24,143,0,0,0,0,0,0,9,41,14,50,0,29,248,13,0,15,0,0,0,40,44,73,22,9,32
106,1400000US26081014803,"Census Tract 148.03, Kent County, Michigan",0,0,0,0,0,23,0,56,96,13,23,46,303,0,0,0,4,0,104,11,0,59,18,27,80,300,0,10,11,4,0,39,5,0,51,6,73,101
107,1400000US26081014804,"Census Tract 148.04, Kent County, Michigan",0,0,124,0,42,155,10,0,78,114,160,0,618,0,0,82,0,59,17,55,108,45,117,0,135,684,21,24,48,30,20,58,47,0,42,271,0,123
215,1400000US26081014805,"Census Tract 148.05, Kent County, Michigan",0,0,24,0,0,20,0,13,119,91,123,88,962,0,0,24,14,38,48,0,43,96,121,265,313,682,15,0,20,0,0,11,0,0,164,153,47,272
1485,1400000US26081014806,"Census Tract 148.06, Kent County, Michigan",0,0,0,0,18,17,0,0,59,54,115,227,580,8,0,0,0,0,0,0,14,207,93,121,137,465,0,0,8,30,0,0,0,0,83,51,106,187
145,1400000US26081014807,"Census Tract 148.07, Kent County, Michigan",0,114,0,36,16,7,4,0,30,182,76,364,646,0,28,8,17,106,0,3,0,48,152,114,170,755,13,6,0,31,11,0,0,0,65,186,159,284
2343,1400000US26081001500,"Census Tract 15, Kent County, Michigan",70,71,53,18,0,0,0,0,58,0,0,9,224,17,63,55,21,0,0,39,0,0,0,16,13,259,49,11,49,0,0,0,21,0,72,57,0,0
1562,1400000US26081001600,"Census Tract 16, Kent County, Michigan",43,17,158,72,47,45,0,0,170,0,65,15,494,85,0,59,27,66,50,56,0,78,52,21,0,446,21,0,26,20,96,100,29,0,116,24,14,0
2337,1400000US26081001700,"Census Tract 17, Kent County, Michigan",14,0,0,23,21,13,0,0,98,0,14,76,252,68,0,0,22,41,0,0,0,50,17,19,35,233,14,0,0,0,0,0,0,0,103,79,37,0
1563,1400000US26081001800,"Census Tract 18, Kent County, Michigan",0,0,0,0,0,54,0,46,100,76,38,25,285,9,0,0,0,0,43,0,28,42,95,36,32,302,0,0,0,0,0,14,0,0,89,47,79,73
206,1400000US26081001900,"Census Tract 19, Kent County, Michigan",43,54,42,0,8,56,24,35,9,14,0,17,305,26,139,57,0,20,27,0,12,0,24,0,0,448,15,102,38,48,24,86,0,55,21,32,13,14
203,1400000US26081000200,"Census Tract 2, Kent County, Michigan",9,0,0,0,23,30,0,0,22,39,15,0,95,8,0,0,14,10,0,0,0,30,19,0,14,97,7,0,0,0,8,0,0,0,33,27,22,0
2357,1400000US26081002000,"Census Tract 20, Kent County, Michigan",12,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2723,1400000US26081002100,"Census Tract 21, Kent County, Michigan",22,0,0,0,0,0,0,0,16,21,0,0,38,0,3,0,0,0,0,0,0,0,0,0,35,156,0,0,46,0,0,0,0,0,0,20,0,90
1570,1400000US26081002200,"Census Tract 22, Kent County, Michigan",0,42,0,26,0,0,0,0,0,48,58,0,139,0,21,6,14,0,0,0,20,78,0,0,0,196,56,29,41,12,0,0,38,0,20,0,0,0
2338,1400000US26081002300,"Census Tract 23, Kent County, Michigan",8,0,0,0,13,22,0,0,11,36,9,85,163,0,0,0,8,0,46,0,0,29,42,22,16,229,0,0,0,0,0,0,0,27,30,28,27,117
2339,1400000US26081002400,"Census Tract 24, Kent County, Michigan",0,0,17,0,9,0,0,0,0,42,37,40,123,0,0,0,0,42,0,0,0,7,31,8,35,93,0,0,0,0,0,0,0,0,0,23,11,59
2724,1400000US26081002500,"Census Tract 25, Kent County, Michigan",15,0,0,0,17,48,0,0,12,0,0,30,252,0,52,0,14,0,90,0,0,12,0,0,84,154,0,0,0,45,0,72,0,0,0,0,0,37
2358,1400000US26081002600,"Census Tract 26, Kent County, Michigan",195,143,109,57,65,76,52,1,84,0,12,0,608,166,47,84,80,65,59,9,0,98,0,0,0,532,73,118,79,65,87,83,0,0,27,0,0,0
2725,1400000US26081002700,"Census Tract 27, Kent County, Michigan",6,0,0,9,34,15,0,0,0,16,0,5,269,32,44,13,58,18,16,0,0,38,50,0,0,302,44,0,29,30,0,15,0,0,52,0,0,132
2340,1400000US26081002800,"Census Tract 28, Kent County, Michigan",29,23,7,0,0,25,0,0,8,0,0,0,174,0,31,18,45,60,0,12,0,8,0,0,0,100,4,15,36,7,0,6,11,0,16,5,0,0
1573,1400000US26081002900,"Census Tract 29, Kent County, Michigan",0,0,0,9,35,12,0,0,21,8,24,6,64,0,0,10,9,21,0,0,0,0,0,10,14,34,0,0,0,8,22,0,0,0,0,0,4,0
112,1400000US26081000300,"Census Tract 3, Kent County, Michigan",49,0,0,97,8,0,0,0,24,62,43,43,472,30,0,0,50,21,0,104,0,27,59,51,130,157,0,0,0,16,8,0,25,0,30,54,9,15
115,1400000US26081003000,"Census Tract 30, Kent County, Michigan",0,71,0,17,0,4,0,0,5,5,12,42,99,18,29,0,23,0,0,0,5,0,24,0,0,95,17,0,0,41,6,0,0,0,21,0,0,10
240,1400000US26081003100,"Census Tract 31, Kent County, Michigan",63,24,167,47,17,12,0,0,36,5,9,7,689,91,47,313,35,0,59,0,32,89,23,0,0,266,20,18,49,89,6,0,0,0,42,14,28,0
116,1400000US26081003200,"Census Tract 32, Kent County, Michigan",105,17,91,101,0,39,0,8,37,0,10,0,685,285,55,24,116,24,36,48,0,97,0,0,0,608,134,84,52,126,23,19,0,56,105,0,9,0
2344,1400000US26081003300,"Census Tract 33, Kent County, Michigan",0,14,41,0,7,10,0,0,70,74,0,86,263,0,0,0,0,20,32,0,0,124,46,0,41,227,9,0,0,0,40,121,0,3,22,17,0,15
2764,1400000US26081003400,"Census Tract 34, Kent County, Michigan",29,15,0,0,0,31,0,0,100,92,52,14,355,17,29,0,0,0,0,0,0,180,94,35,0,217,14,16,0,0,0,0,0,0,63,59,32,33
207,1400000US26081003500,"Census Tract 35, Kent County, Michigan",91,70,35,88,65,94,45,0,53,48,15,0,495,131,20,35,121,51,0,13,51,47,17,0,9,523,89,47,33,39,124,23,11,16,71,42,0,28
208,1400000US26081003600,"Census Tract 36, Kent County, Michigan",195,30,20,36,57,4,0,0,40,0,0,0,351,143,0,38,30,27,21,0,0,72,20,0,0,285,112,31,31,37,21,10,0,0,15,28,0,0
148,1400000US26081003700,"Census Tract 37, Kent County, Michigan",171,38,146,98,0,45,0,0,24,24,9,0,512,142,80,26,154,0,15,21,0,45,8,21,0,327,19,25,40,186,0,0,22,11,24,0,0,0
241,1400000US26081003800,"Census Tract 38, Kent County, Michigan",239,101,76,65,69,0,18,37,21,36,0,0,624,139,123,78,67,27,50,19,81,40,0,0,0,463,91,71,70,77,31,14,18,0,39,17,10,25
209,1400000US26081003900,"Census Tract 39, Kent County, Michigan",176,71,61,32,36,81,0,0,15,0,0,0,539,231,65,56,31,19,41,23,0,63,10,0,0,345,30,33,69,25,53,10,0,0,93,12,20,0
1564,1400000US26081000400,"Census Tract 4, Kent County, Michigan",0,0,0,7,0,50,17,0,7,91,0,54,207,0,28,14,0,0,14,0,0,41,87,0,23,217,0,13,0,0,0,0,0,19,54,89,22,20
2341,1400000US26081004000,"Census Tract 40, Kent County, Michigan",71,93,61,58,19,79,32,26,68,2,0,0,547,161,56,50,11,53,35,27,34,88,32,0,0,375,60,31,53,68,15,38,0,30,73,7,0,0
2765,1400000US26081004100,"Census Tract 41, Kent County, Michigan",0,39,0,11,50,33,0,0,123,207,56,81,320,0,0,0,24,8,0,0,92,67,41,31,57,471,35,70,0,21,13,7,0,28,152,34,30,81
242,1400000US26081004200,"Census Tract 42, Kent County, Michigan",35,27,0,0,160,138,11,0,146,131,53,41,341,34,27,0,7,35,53,0,0,91,94,0,0,284,0,11,35,6,142,0,11,0,18,35,9,17
114,1400000US26081004300,"Census Tract 43, Kent County, Michigan",0,0,0,13,8,117,0,0,49,24,5,20,201,0,0,0,15,17,21,11,0,65,29,32,11,317,5,0,0,8,0,0,22,0,38,90,120,34
1566,1400000US26081004400,"Census Tract 44, Kent County, Michigan",0,0,0,0,0,98,0,0,55,13,68,83,294,0,0,0,111,0,0,0,0,0,34,24,125,353,0,0,0,52,0,0,0,0,0,202,26,73
239,1400000US26081004500,"Census Tract 45, Kent County, Michigan",139,0,0,47,136,0,0,16,167,83,15,113,643,12,13,75,92,0,0,0,0,204,73,36,138,528,0,0,0,77,56,0,0,0,197,85,46,67
210,1400000US26081004600,"Census Tract 46, Kent County, Michigan",0,33,10,0,54,8,0,37,183,15,14,0,506,0,80,0,0,37,31,0,0,276,13,41,28,496,11,31,0,92,41,38,0,91,87,13,92,0
2336,1400000US26081000500,"Census Tract 5, Kent County, Michigan",24,18,9,55,0,37,0,0,65,37,19,29,275,0,21,0,42,0,57,0,0,34,40,29,52,280,18,0,0,21,0,0,0,26,58,22,28,107
204,1400000US26081000600,"Census Tract 6, Kent County, Michigan",15,0,0,0,0,13,0,11,116,49,9,52,285,0,0,0,0,20,12,0,0,83,22,55,93,251,23,0,0,0,0,25,0,0,60,40,11,92
146,1400000US26081000700,"Census Tract 7, Kent County, Michigan",62,0,11,15,40,0,30,0,40,30,0,20,199,0,0,11,43,0,21,0,13,61,39,0,11,193,9,0,12,27,0,7,0,0,108,0,19,11
1565,1400000US26081000800,"Census Tract 8, Kent County, Michigan",0,0,38,96,0,53,0,13,68,0,0,0,164,0,0,79,31,13,0,8,13,20,0,0,0,349,31,0,40,164,49,8,15,42,0,0,0,0
147,1400000US26081000900,"Census Tract 9, Kent County, Michigan",126,17,16,0,27,46,0,17,76,15,0,0,235,63,16,38,0,28,26,0,18,30,8,8,0,244,21,0,86,22,13,8,5,18,32,39,0,0
508,1400000US26083000100,"Census Tract 1, Keweenaw County, Michigan",44,2,9,6,23,1,0,22,1,0,2,4,104,4,0,0,14,5,1,0,10,45,8,17,0,117,6,1,2,6,5,14,0,9,24,7,29,14
509,1400000US26083980100,"Census Tract 9801, Keweenaw County, Michigan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,1400000US26083990100,"Census Tract 9901, Keweenaw County, Michigan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,1400000US26085960100,"Census Tract 9601, Lake County, Michigan",38,0,5,9,8,0,0,0,7,8,0,0,80,13,13,11,7,9,0,0,0,16,11,0,0,94,30,3,10,4,7,0,0,8,18,10,0,4
511,1400000US26085961100,"Census Tract 9611, Lake County, Michigan",37,11,9,39,0,11,9,6,47,15,0,5,299,81,13,4,37,16,14,4,28,28,74,0,0,166,32,20,19,22,0,4,0,12,20,23,0,14
557,1400000US26085961200,"Census Tract 9612, Lake County, Michigan",83,0,4,5,6,0,4,7,0,5,6,0,84,23,0,6,16,24,0,4,0,7,0,4,0,159,22,2,29,18,9,8,3,0,24,6,6,32
558,1400000US26085961300,"Census Tract 9613, Lake County, Michigan",0,28,27,36,34,8,0,2,23,23,0,0,221,9,30,35,30,18,11,0,0,21,48,4,15,236,36,41,6,53,4,3,0,7,27,43,9,7
1049,1400000US26087330000,"Census Tract 3300, Lapeer County, Michigan",33,39,14,7,12,6,0,3,42,61,6,22,265,57,0,13,11,7,19,4,8,37,20,36,53,334,22,0,0,4,11,28,21,7,89,86,39,27
1051,1400000US26087330500,"Census Tract 3305, Lapeer County, Michigan",1,7,0,22,41,23,12,0,35,64,23,17,220,6,2,13,21,41,16,0,4,51,46,0,20,302,20,12,17,24,12,12,8,25,64,38,10,60
